ability,能力,
absolute,絶対的な,
accident,事故,
accurate,正確な,
achieve,達成する,
advantage,利点,
adventure,冒険,
affect,影響する,
agreement,合意,
airline,航空会社,
allow,許可する,
alternative,代替の,
amount,量,
analysis,分析,
annual,年次の,
announce,発表する,
application,応用,申請,
appreciate,感謝する,
approach,近づく,
appropriate,適切な,
approve,承認する,
argument,議論,
arrive,到着する,
article,記事,
assist,支援する,
attitude,態度,
authority,権限,
available,利用可能な,
benefit,利益,
behavior,行動,
believe,信じる,
cancel,キャンセルする,
capacity,能力,
challenge,挑戦,
circumstance,状況,
colleague,同僚,
combine,組み合わせる,
comment,コメント,
commit,約束する,
communicate,伝える,
compare,比較する,
complete,完了する,
complain,不満を言う,
complex,複雑な,
confirm,確認する,
consider,考慮する,
consistent,一貫した,
construct,構築する,
consult,相談する,
contact,連絡する,
contain,含む,
continue,続ける,
contract,契約,
contribute,貢献する,
convenient,便利な,
convince,説得する,
cooperate,協力する,
cost,費用,
create,創造する,
credit,信用,
crisis,危機,
crucial,重要な,
culture,文化,
customer,顧客,
damage,損害,
data,データ,
decade,10年,
decline,減少する,
define,定義する,
deliver,配達する,
demand,需要,
department,部門,
deposit,預金,
design,設計,
develop,開発する,
direct,指示する,
discount,割引,
discuss,議論する,
distribute,分配する,
economy,経済,
educate,教育する,
effect,効果,
efficiency,効率,
effort,努力,
elect,選出する,
eliminate,排除する,
employ,雇用する,
enable,可能にする,
ensure,確実にする,
environment,環境,
establish,確立する,
estimate,見積もる,
evaluate,評価する,
event,イベント,
evidence,証拠,
examine,調査する,
expect,期待する,
expense,費用,
experience,経験,
explain,説明する,
explore,探求する,
extend,延長する,
facility,設備,
factor,要因,
failure,失敗,
feature,特徴,
finance,財政,
form,フォーム,
function,機能,
fund,資金,
identify,特定する,
ignore,無視する,
impact,影響,
implement,実施する,
improve,改善する,
income,収入,
increase,増加する,
indicate,示す,
industry,産業,
influence,影響,
inform,知らせる,
initiate,開始する,
innovation,革新,
insurance,保険,
intend,意図する,
interpret,解釈する,
introduce,紹介する,
invest,投資する,
issue,問題,
item,品目,
join,参加する,
judgment,判断,
launch,開始する,
lead,率いる,
lecture,講義,
loan,ローン,
location,場所,
maintain,維持する,
manage,管理する,
manufacture,製造する,
marketing,マーケティング,
measure,測定する,
mechanism,メカニズム,
mention,言及する,
method,方法,
mission,使命,
monitor,監視する,
negotiate,交渉する,
network,ネットワーク,
objective,目的,
observe,観察する,
obtain,入手する,
occur,起こる,
operate,運営する,
opportunity,機会,
option,選択肢,
order,注文,
organize,組織する,
participate,参加する,
perform,実行する,
period,期間,
permit,許可証,
policy,方針,
portion,部分,
potential,潜在能力,
practice,練習,
predict,予測する,
prepare,準備する,
present,提示する,
prevent,防止する,
process,プロセス,
produce,生産する,
product,製品,
profession,職業,
project,プロジェクト,
promote,促進する,
propose,提案する,
provide,提供する,
purchase,購入する,
pursue,追求する,
purpose,目的,
quality,品質,
quantity,数量,
range,範囲,
rate,割合,
receive,受信する,
recommend,推奨する,
record,記録,
reduce,削減する,
reflect,反映する,
region,地域,
regulate,規制する,
release,解放する,
reliable,信頼できる,
require,必要とする,
research,研究,
resolve,解決する,
resource,資源,
respond,応答する,
responsibility,責任,
result,結果,
retain,保持する,
revenue,収入,
review,レビュー,
reward,報酬,
risk,リスク,
routine,日常,
sample,サンプル,
satisfy,満足させる,
schedule,スケジュール,
sector,部門,
secure,確保する,
select,選択する,
separate,分離する,
service,サービス,
significant,重要な,
simulate,シミュレートする,
site,サイト,
solution,解決策,
source,ソース,
specific,具体的な,
strategy,戦略,
structure,構造,
subject,主題,
submit,提出する,
succeed,成功する,
sufficient,十分な,
support,支援する,
supply,供給する,
survey,調査,
switch,切り替える,
target,目標,
task,タスク,
technology,技術,
tend,傾向がある,
threat,脅威,
tissue,組織,
transform,変革する,
transport,輸送する,
trend,傾向,
trial,試行,
trust,信頼,
typical,典型的な,
unit,単位,
value,価値,
variety,多様性,
vehicle,車両,
venture,冒険,
version,バージョン,
vital,不可欠な,
volume,量,
wage,賃金,
waste,無駄,
wealth,富,
website,ウェブサイト

